dteday,season,yr,weekday,hr,rider_type,riders,price,COGS,revenue,profit
1/1/2021,1,0,6,0,casual,3,3.99,1.24,11.97,8.25
1/1/2021,1,0,6,1,casual,8,3.99,1.24,31.92,22.0
1/1/2021,1,0,6,2,casual,5,3.99,1.24,19.950000000000003,13.750000000000004
1/1/2021,1,0,6,3,casual,3,3.99,1.24,11.97,8.25
1/1/2021,1,0,6,4,casual,0,3.99,1.24,0.0,0.0
1/1/2021,1,0,6,5,casual,0,3.99,1.24,0.0,0.0
1/1/2021,1,0,6,6,casual,2,3.99,1.24,7.98,5.5
1/1/2021,1,0,6,7,casual,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,6,8,casual,1,3.99,1.24,3.99,2.75
1/1/2021,1,0,6,9,casual,8,3.99,1.24,31.92,22.0
1/1/2021,1,0,6,10,casual,12,3.99,1.24,47.88,33.0
1/1/2021,1,0,6,11,casual,26,3.99,1.24,103.74000000000001,71.5
1/1/2021,1,0,6,12,casual,29,3.99,1.24,115.71000000000001,79.75
1/1/2021,1,0,6,13,casual,47,3.99,1.24,187.53,129.25
1/1/2021,1,0,6,14,casual,35,3.99,1.24,139.65,96.25
1/1/2021,1,0,6,15,casual,40,3.99,1.24,159.60000000000002,110.00000000000003
1/1/2021,1,0,6,16,casual,41,3.99,1.24,163.59,112.75
1/1/2021,1,0,6,17,casual,15,3.99,1.24,59.85,41.25
1/1/2021,1,0,6,18,casual,9,3.99,1.24,35.910000000000004,24.750000000000004
1/1/2021,1,0,6,19,casual,6,3.99,1.24,23.94,16.5
1/1/2021,1,0,6,20,casual,11,3.99,1.24,43.89,30.25
1/1/2021,1,0,6,21,casual,3,3.99,1.24,11.97,8.25
1/1/2021,1,0,6,22,casual,11,3.99,1.24,43.89,30.25
1/1/2021,1,0,6,23,casual,15,3.99,1.24,59.85,41.25
2/1/2021,1,0,0,0,casual,4,3.99,1.24,15.96,11.0
2/1/2021,1,0,0,1,casual,1,3.99,1.24,3.99,2.75
2/1/2021,1,0,0,2,casual,1,3.99,1.24,3.99,2.75
2/1/2021,1,0,0,3,casual,2,3.99,1.24,7.98,5.5
2/1/2021,1,0,0,4,casual,2,3.99,1.24,7.98,5.5
2/1/2021,1,0,0,6,casual,0,3.99,1.24,0.0,0.0
2/1/2021,1,0,0,7,casual,0,3.99,1.24,0.0,0.0
2/1/2021,1,0,0,8,casual,0,3.99,1.24,0.0,0.0
2/1/2021,1,0,0,9,casual,1,3.99,1.24,3.99,2.75
2/1/2021,1,0,0,10,casual,7,3.99,1.24,27.93,19.25
2/1/2021,1,0,0,11,casual,16,3.99,1.24,63.84,44.0
2/1/2021,1,0,0,12,casual,20,3.99,1.24,79.80000000000001,55.000000000000014
2/1/2021,1,0,0,13,casual,11,3.99,1.24,43.89,30.25
2/1/2021,1,0,0,14,casual,4,3.99,1.24,15.96,11.0
